price,sku,description,image,name
59.99,N82E16879221320,"Power Changes Everything. An Advanced World: Call of Duty: Advanced Warfare takes place in a plausible future in which technological progress and today's military practices have converged with powerful consequences. In this carefully researched and crafted vision of the future, Private Military Corporations (PMCs) have become the dominant armed forces for countless nations outsourcing their military needs, redrawing borders and rewriting the rules of war. And Jonathan Irons, the founder and president of the world's largest PMC - Atlas Corporation - is at the center of it all. An Advanced Soldier: Powerful exoskeletons evolve every aspect of a soldier's battle readiness, enabling combatants to deploy with an advanced lethality and eliminating the need for specialization. The introduction ...",http://images10.newegg.com/ProductImageCompressAll125/79-221-320-07.jpg,"Call of Duty: Advanced Warfare Day Zero Edition PS3"
39.99,N82E16879225073,"Tears to Tiara II: Heir of the Overlord is an intense strategy RPG combined with visual novel-like storytelling from developer Aquaplus. Telling the story of the last heir to Hispania's royal throne as he fights to reclaim his land from the Divine Empire, Tears to Tiara II is a standalone adventure lasting approximately 80 hours that requires no prior knowledge of the previous game. Tactical battles are challenging and deep, with each unit having unique attributes and skills. 15 main characters plus side characters and even beasts can be recruited into your party to allow players great freedom to build their own strategy. 3 levels of difficulty mean players from novice to expert can enjoy the game. Joint Attacks, Consecutive Strikes, and Boost Magic mechanics add extra depth to the strategy gameplay and ma...",http://images10.newegg.com/ProductImageCompressAll125/79-225-073-09.jpg,"Tears to Tiara II: Heir of the Overlord PS3"
42.99,N82E16879261459,"Year-to-Year Saves - For the first time in franchise history, saves can be carried over from MLB 14 to future releases of The Show, meaning that gamers won't have to worry about starting their Franchise or Road to the Show seasons over in years to come. Player Lock - The new Player Lock feature (a.k.a RTTS anywhere) gives users the ability to lock-on to any single player and enter games using the Road to the Show gameplay mechanic, allowing for faster games and more focused on-field action. Quick Counts - Users will now be able to play a full nine-inning game in less than 30 minutes, half the time it takes in previous iterations of The Show. Despite the shortened game durations, realistic stats will not be compromised. Universal Profile - A new tendency-tracking system monitors and records gam...",http://images10.newegg.com/ProductImageCompressAll125/79-261-459-03.jpg,"MLB 14: The Show PlayStation 3"
36.00,N82E16879708018,"Environment - Larger and more open environments allow for greater freedom of movement and longer distances for the more skilled Sniper. The North African battlefield provides visual and gameplay variation with non-linear routes, more verticality and the ability to engage enemies in open or close-knit locations. Relocation - Players search the numerous environments in order to create and discover opportunities that best suit their needs and sniping style - nests, ambush locations, alternative approaches, sound masking and trap setup. They can also use shadows and darkness to remain unseen by the Afrika Korps. Vehicle Kill-Cam - Afrika Korps' vehicles, such as armored cars and Panzer tanks, can be targeted and entire crews can be taken out. Weapon & Character Customization - Fans gain sniper rank...",http://images10.newegg.com/NeweggImage/ProductImageCompressAll125/79-708-018-13.jpg,"Sniper Elite V3 PlayStation 3"
34.99,N82E16879253100,"Dark Souls 2 will feature a new hero, a new storyline, and an unfamiliar world for players to survive in while delivering its signature brand of unrelenting punishment that players hunger for. Epic battles with gruesome enemies and blood-thirsty bosses await adventurers as they traverse through a devastated world filled with death and despair; only those who are strong willed or cunning can survive this journey to achieve great glory. Players seeking to share their experience will discover a revamped server-based multiplayer mode that will put a distinct Dark Souls 2 twist on the concept of playing with others.",http://images10.newegg.com/ProductImageCompressAll125/79-253-100-12.jpg,"Dark Souls II - PlayStation 3"
32.99,N82E16879262056,"Final Fantasy X The world lies on the brink of destruction. Only a select few may be able to save it. In ages past, the world of Spira experienced a golden age of perfection, brought about by an advanced civilization through the use of wondrous machinery called machina. However, around one thousand years before the present day, a colossal menace known only as ""Sin"" appeared and sundered all before it. Though a line of summoners have since brought Sin low many times, it inevitably returns in an unending cycle of destruction. In the face of this ever-pervasive threat, the people of Spira flocked to the teachings of Yevon, which tell that Sin is a punishment to those who relied overly on machina. Tidus is a young Blitzball star that mysteriously finds himself in Spira after his home city of Zanarkand...",http://images10.newegg.com/ProductImageCompressAll125/79-262-056-12.jpg,"Final Fantasy X|X-2 HD Remaster Standard Edition - PlayStation 3"
39.99,N82E16879262051,,http://images10.newegg.com/ProductImageCompressAll125/79-262-051-09.jpg,"Playstation 3"
19.99,N82E16879200885,"Celebrating 25 years of innovation, Madden NFL 25 unlocks the power, precision, and creativity of the NFL ball-carrier. Whether you're a slashing running-back, dual-threat QB, or ball-hawking safety, unleash 30 new moves and string together devastating combos with the all-new precision modifier in Madden NFL 25. With Madden NFL 25, unlock the power, precision, and creativity of the NFL ball-carrier. Whether you're a slashing running-back, dual-threat QB, or ball-hawking safety, unleash 30 new moves and string together devastating combos with the all-new precision modifier. Playbook #1: Run Free - Unlock the power, precision, and creativity of the NFL ball-carrier. Whether you're a slashing running-back, dual-threat QB, or ball-hawking safety, unleash 30 new moves and string together devastating ...",http://images10.newegg.com/ProductImageCompressAll125/79-200-885-18.jpg,"Madden NFL 25 Playstation3 Game"
31.00,N82E16879248116,,http://images10.newegg.com/NeweggImage/ProductImageCompressAll125/79-248-116-04.jpg,"Metal Gear Solid V: Ground Zeroes PlayStation 3"
31.99,N82E16879218103,"The Borderlands 2 and Dishonored bundle features amazing original gameplay experiences and dozens of hours of gameplay for an incredible value. This pack is perfect for newcomers to current-gen systems and core-gamers looking for great-value, blockbuster games to build their library. - Over 100 Combined Editorial Awards - Dozens of hours of gameplay and excellent replay value Borderlands 2 : Play alone or with friends as you wreak havoc as one of four vault hunters ready to shoot and loot in the world of Pandora, taking aim at the Hyperion leader, Handsome Jack. Mayhem Awaits. Bring Friends! Dishonored : Fight with supernatural powers as Corvo Attano, framed for murdering an Empress he once guarded. Stalk the streets of Dunwall and seek out those that destroyed his life, making them pay for ...",http://images10.newegg.com/ProductImageCompressAll125/79-218-103-03.jpg,"Borderlands 2 & Dishonored Bundle PlayStation 3"
